127.0.0.1 - - [16/Dec/2021:02:17:44 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Dec/2021:02:17:48 +0900] "GET /day11/ HTTP/1.1" 200 635
0:0:0:0:0:0:0:1 - - [16/Dec/2021:02:17:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Dec/2021:02:18:40 +0900] "GET /day11/ex02 HTTP/1.1" 200 1164
0:0:0:0:0:0:0:1 - - [16/Dec/2021:02:18:47 +0900] "GET /day11/ex01 HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [16/Dec/2021:02:18:48 +0900] "GET /day11/ex01-ajax HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [16/Dec/2021:03:31:50 +0900] "GET /day11/ HTTP/1.1" 200 635
0:0:0:0:0:0:0:1 - - [16/Dec/2021:03:31:50 +0900] "GET /day11/ HTTP/1.1" 200 635
0:0:0:0:0:0:0:1 - - [16/Dec/2021:03:31:51 +0900] "GET /day11/ex02 HTTP/1.1" 200 1164
0:0:0:0:0:0:0:1 - - [16/Dec/2021:03:34:03 +0900] "GET /day11/ HTTP/1.1" 200 635
0:0:0:0:0:0:0:1 - - [16/Dec/2021:03:34:03 +0900] "GET /day11/ HTTP/1.1" 200 635
0:0:0:0:0:0:0:1 - - [16/Dec/2021:03:34:05 +0900] "GET /day11/ex02 HTTP/1.1" 200 1210
0:0:0:0:0:0:0:1 - - [16/Dec/2021:03:34:14 +0900] "GET /day11/ex02Ajax?n1=3&n2=4 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [16/Dec/2021:03:34:39 +0900] "GET /day11/ex02 HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [16/Dec/2021:03:34:39 +0900] "GET /day11/ex02 HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [16/Dec/2021:03:34:39 +0900] "GET /day11/ex02 HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [16/Dec/2021:03:34:39 +0900] "GET /day11/ex02 HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [16/Dec/2021:03:34:39 +0900] "GET /day11/ex02 HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [16/Dec/2021:03:34:40 +0900] "GET /day11/ex02 HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [16/Dec/2021:03:34:40 +0900] "GET /day11/ex02 HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [16/Dec/2021:03:34:49 +0900] "GET /day11/ex02Ajax?n1=5&n2=3 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [16/Dec/2021:03:35:17 +0900] "GET /day11/ex02 HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [16/Dec/2021:03:35:18 +0900] "GET /day11/ex02 HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [16/Dec/2021:03:35:23 +0900] "GET /day11/ex02Ajax?n1=6&n2=2 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [16/Dec/2021:03:36:32 +0900] "GET /day11/ex02 HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [16/Dec/2021:03:37:39 +0900] "GET /day11/ex02 HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [16/Dec/2021:03:37:59 +0900] "GET /day11/ex02 HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [16/Dec/2021:03:41:08 +0900] "GET /day11/ex02 HTTP/1.1" 200 1174
