127.0.0.1 - - [05/Jan/2022:17:03:28 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Jan/2022:17:03:31 +0900] "GET /main/ HTTP/1.1" 200 2642
0:0:0:0:0:0:0:1 - - [05/Jan/2022:17:03:31 +0900] "GET /main/resources/css/event.css HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [05/Jan/2022:17:03:31 +0900] "GET /main/resources/css/header.css HTTP/1.1" 200 1690
0:0:0:0:0:0:0:1 - - [05/Jan/2022:17:03:31 +0900] "GET /main/resources/css/center.css HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [05/Jan/2022:17:03:31 +0900] "GET /main/resources/css/home.css HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [05/Jan/2022:17:03:31 +0900] "GET /main/resources/css/member.css HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [05/Jan/2022:17:03:31 +0900] "GET /main/resources/css/footer.css HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [05/Jan/2022:17:03:31 +0900] "GET /main/resources/css/trade.css HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [05/Jan/2022:17:03:31 +0900] "GET /main/resources/css/myPage.css HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [05/Jan/2022:17:03:31 +0900] "GET /main/resources/css/product.css HTTP/1.1" 200 17
