127.0.0.1 - - [21/Feb/2022:16:32:43 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Feb/2022:16:32:44 +0900] "GET /project2.1/ HTTP/1.1" 200 34278
0:0:0:0:0:0:0:1 - - [21/Feb/2022:16:32:44 +0900] "GET /project2.1/resources/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2022:16:32:44 +0900] "GET /project2.1/resources/css/event.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2022:16:32:44 +0900] "GET /project2.1/resources/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2022:16:32:44 +0900] "GET /project2.1/resources/css/trade.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2022:16:32:44 +0900] "GET /project2.1/resources/css/product.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2022:16:32:44 +0900] "GET /project2.1/resources/css/center.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2022:16:32:44 +0900] "GET /project2.1/resources/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2022:16:32:44 +0900] "GET /project2.1/resources/js/chat.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2022:16:32:44 +0900] "GET /project2.1/resources/js/trade.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2022:16:32:44 +0900] "GET /project2.1/resources/css/chat.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2022:16:32:44 +0900] "GET /project2.1/resources/js/header.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2022:16:32:45 +0900] "GET /project2.1/resources/js/home.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2022:16:32:45 +0900] "GET /project2.1/resources/img/search_icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2022:16:32:45 +0900] "GET /project2.1/resources/img/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2022:16:32:46 +0900] "GET /project2.1/homeItemList/product_upload/desc HTTP/1.1" 200 2126
