127.0.0.1 - - [29/May/2022:23:36:35 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/May/2022:23:37:26 +0900] "GET /project2.1/ HTTP/1.1" 200 34301
0:0:0:0:0:0:0:1 - - [29/May/2022:23:37:26 +0900] "GET /project2.1/resources/css/trade.css HTTP/1.1" 200 18046
0:0:0:0:0:0:0:1 - - [29/May/2022:23:37:26 +0900] "GET /project2.1/resources/css/event.css HTTP/1.1" 200 2088
0:0:0:0:0:0:0:1 - - [29/May/2022:23:37:26 +0900] "GET /project2.1/resources/css/product.css HTTP/1.1" 200 25737
0:0:0:0:0:0:0:1 - - [29/May/2022:23:37:26 +0900] "GET /project2.1/resources/css/header.css HTTP/1.1" 200 3144
0:0:0:0:0:0:0:1 - - [29/May/2022:23:37:26 +0900] "GET /project2.1/resources/css/home.css HTTP/1.1" 200 4376
0:0:0:0:0:0:0:1 - - [29/May/2022:23:37:26 +0900] "GET /project2.1/resources/css/center.css HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [29/May/2022:23:37:26 +0900] "GET /project2.1/resources/css/chat.css HTTP/1.1" 200 3841
0:0:0:0:0:0:0:1 - - [29/May/2022:23:37:26 +0900] "GET /project2.1/resources/css/footer.css HTTP/1.1" 200 3202
0:0:0:0:0:0:0:1 - - [29/May/2022:23:37:26 +0900] "GET /project2.1/resources/js/chat.js HTTP/1.1" 200 6456
0:0:0:0:0:0:0:1 - - [29/May/2022:23:37:27 +0900] "GET /project2.1/resources/js/header.js HTTP/1.1" 200 1153
0:0:0:0:0:0:0:1 - - [29/May/2022:23:37:27 +0900] "GET /project2.1/resources/js/trade.js HTTP/1.1" 200 6564
0:0:0:0:0:0:0:1 - - [29/May/2022:23:37:27 +0900] "GET /project2.1/resources/js/home.js HTTP/1.1" 200 5505
0:0:0:0:0:0:0:1 - - [29/May/2022:23:37:27 +0900] "GET /project2.1/resources/img/search_icon.png HTTP/1.1" 200 8154
0:0:0:0:0:0:0:1 - - [29/May/2022:23:37:27 +0900] "GET /project2.1/resources/img/logo.jpg HTTP/1.1" 200 53588
0:0:0:0:0:0:0:1 - - [29/May/2022:23:37:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/May/2022:23:37:28 +0900] "GET /project2.1/homeItemList/product_price/desc HTTP/1.1" 200 34024
0:0:0:0:0:0:0:1 - - [29/May/2022:23:37:28 +0900] "GET /project2.1/homeItemList/product_upload/desc HTTP/1.1" 200 34024
0:0:0:0:0:0:0:1 - - [29/May/2022:23:37:28 +0900] "GET /project2.1/homeItemList/product_wish_count/desc HTTP/1.1" 200 34024
0:0:0:0:0:0:0:1 - - [29/May/2022:23:39:39 +0900] "GET /project2.1/product/productList HTTP/1.1" 200 41333
0:0:0:0:0:0:0:1 - - [29/May/2022:23:39:39 +0900] "GET /project2.1/resources/js/product.js HTTP/1.1" 200 33268
0:0:0:0:0:0:0:1 - - [29/May/2022:23:39:39 +0900] "GET /project2.1/getProductList HTTP/1.1" 200 34024
0:0:0:0:0:0:0:1 - - [29/May/2022:23:39:45 +0900] "GET /project2.1/resources/img/left_bar.svg HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [29/May/2022:23:39:45 +0900] "GET /project2.1/resources/img/right_bar.svg HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [29/May/2022:23:39:45 +0900] "GET /project2.1/product/product_detail?modelnum=DD1503-101 HTTP/1.1" 200 103880
